Auction ID,Auction Title,Fund,Auction Fee Total
80234,Dell Laptop,General Fund,$10.35 
80235,Dell Laptop,General Fund,$9.66 
80236,Dell Laptop,General Fund,$8.87 
80237,Dell Laptop,General Fund,$8.62 
80238,Dell Laptop,General Fund,$7.82 
80239,Dell Laptop,General Fund,$8.17 
80240,Dell Laptop,General Fund,$6.90 
80241,Dell Laptop,General Fund,$0.46 
80242,4 Laptop Bags,General Fund,$4.83 
80243,3 Metal File Racks,Enterprise,$0.46 
80244,Lanier Cassette Duplicator,Enterprise,$1.49 
80245,Dell Computer,Enterprise,$0.46 
80246,6 Wheel Dolly,Enterprise,$5.75 
80247,Crystal Springs Water Machine,Enterprise,$11.96 
80248,Rubbermaid Cart,Enterprise,$7.36 
80249,Ladder,Enterprise,$1.38 
80250,Metal Cart,Enterprise,$0.69 
80251,Mariani Cart,Enterprise,$1.38 
80252,Step Ladder,Enterprise,$3.68 
80253,6 Barriers,Enterprise,$8.74 
80254,9 Stands,Enterprise,$1.87 
80255,Toshiba 32" Television,Enterprise,$1.78 
80256,Powermatic Table Saw,Enterprise,$100.56 
80257,Krueger Table,Enterprise,$0.92 
80258,Round Table,Enterprise,$6.21 
80259,Round Table,Enterprise,$6.21 
80260,Diamond Cross Pendant and Chain,Enterprise,$65.09 
80261,Diamond Mouse Pendant,Enterprise,$189.75 
80262,|Vacant Land - 60 Robertson Street, Nashville, TN 37210|,General Fund,$150.75 
80263,Burberry Purse,Enterprise,$9.43 
80264,15 DVD's,Enterprise,$3.91 
80265,15 DVD's,Enterprise,$3.91 
80266,15 DVD's,Enterprise,$2.53 
80267,15 DVD's,Enterprise,$3.91 
80268,16 DVD's,Enterprise,$2.99 
80269,10 Stackable Chairs,Enterprise,$13.11 
80270,10 Chairs,Enterprise,$2.18 
80271,10 Stackable Chairs,Enterprise,$3.68 
80272,Table,Enterprise,$0.69 
80273,Table,Enterprise,$1.15 
80274,Table,Enterprise,$0.23 
80275,Table,Enterprise,$1.15 
80276,Metal Desk,Enterprise,$1.84 
80277,2 Crowd Control Posts,Enterprise,$2.53 
80278,Chair,Enterprise,$0.46 
80279,Chair,Enterprise,$0.92 
80280,3 Control Posts,Enterprise,$4.83 
80281,2 Rolling Office Chairs,Enterprise,$3.11 
80282,Piano Bench,Enterprise,$6.67 
80283,End Table,Enterprise,$1.38 
80284,Desk,Enterprise,$1.38 
80285,Office Chair,Enterprise,$10.58 
80287,Table,Enterprise,$1.41 
80288,Chair,Enterprise,$0.46 
80289,Wooden Table,Enterprise,$4.14 
80290,Round Table,Enterprise,$2.07 
80291,Round Table,Enterprise,$2.07 
80292,Round Table,Enterprise,$1.38 
80293,Round Table,Enterprise,$2.07 
80294,Round Table,Enterprise,$0.23 
80295,Round Table,Enterprise,$1.15 
80296,2 Round Tables,Enterprise,$1.48 
80297,2 Round Tables,Enterprise,$1.56 
80298,2 Round Tables,Enterprise,$1.42 
80300,1992 Oldsmobile 88 Regal,Enterprise,$94.30 
80301,1988 Buick LeSabre,Enterprise,$70.84 
80302,2003 Toyota Camry,Enterprise,$564.65 
80303,2004 Chevrolet Tahoe,Enterprise,|$1,161.50 |
80304,2002 Nissan Altima,Enterprise,$741.75 
80305,JVC 42" LCD Flat Screen TV,Enterprise,$52.90 
80306,LG 50" Plasma Flat Screen TV,Enterprise,$82.80 
80307,Sony 46" LCD Flat Screen TV,Enterprise,$55.43 
80308,Samsung 22" LCD Flat Screen TV,Enterprise,$23.69 
80309,Samsung Washer & Dryer,Enterprise,$189.75 
80310,Couch,Enterprise,$14.26 
80311,Wooden Cabinet,Enterprise,$33.35 
80312,Table w/4 Chairs,Enterprise,$28.98 
80313,6 Dining Chairs,Enterprise,$48.15 
80315,2 JL Audio W7 13" Subwoofers,Enterprise,$145.10 
80316,Large Mirror,Enterprise,$14.26 
80317,Sony DVD/CD Player,Enterprise,$4.37 
80318,Small Louis Vuitton Duffel Bag,Enterprise,$112.70 
